Node,Community
Streptomyces tanashiensis,0
Streptomyces okerensis,0
Streptomyces incarnatus,0
Streptomyces spongiicola,0
Streptomyces vilmorinianum,0
Streptomyces cinnabarinus,0
Streptomyces argyrophylli,0
Streptomyces lavendulae,0
Streptomyces viridosporus,0
Streptomyces scabiei,1
Streptomyces cinereoruber,1
Streptomyces glycanivorans,1
Streptomyces libani,1
Streptomyces zhihengii,1
Streptomyces poriferorum,1
Streptomyces rubrolavendulae,1
Streptomyces spinosirectus,1
Streptomyces exfoliatus,1
Microbispora hainanensis,1
Kitasatospora sp. MMS16-BH015,1
Streptomyces yunnanensis,1
Streptomyces cellulosae,1
Staphylococcus pasteuri,1
Streptomyces lienomycini,1
Staphylococcus hyicus,1
Streptomyces autolyticus,1
Lactococcus sp.,1
Kitasatospora sp. NBC_00458,1
Mycolicibacterium aurum,2
Mycolicibacterium mengxianglii,2
Bacillus spizizenii,2
Mycobacterium burgundiense,2
Staphylococcus felis,2
Mycolicibacterium tokaiense,2
Staphylococcus lutrae,2
Mycolicibacterium vanbaalenii,2
Mycolicibacterium baixiangningiae,2
Bacillus thuringiensis,2
Bacillus mycoides,2
Staphylococcus pseudintermedius,2
Mycolicibacterium rutilum,2
Staphylococcus condimenti,3
Staphylococcus succinus,3
Staphylococcus edaphicus,3
Staphylococcus simiae,3
Staphylococcus massiliensis,3
Staphylococcus capitis,3
Staphylococcus sp. IVB6181,3
Staphylococcus chromogenes,3
Staphylococcus casei,3
Staphylococcus kloosii,3
Staphylococcus sp. LKG3-1,3
Staphylococcus sp. 17KM0847,3
Staphylococcus devriesei,3
Staphylococcus lloydii,3
Staphylococcus carnosus,3
Parascardovia denticolens,4
Mycolicibacterium aichiense,4
Richelia sinica,4
Streptosporangium sp. 'caverna',5
Streptosporangium sp. NBC_01810,5
Streptosporangium sp. NBC_01469,5
Streptosporangium subroseum,5
Bifidobacterium sp. ESL0682,5
Olsenella timonensis,5
Streptosporangium sp. NBC_01755,5
Streptosporangium sp. NBC_01639,5
Microbispora maris,5
Microbispora sp. NBC_01189,5
Bifidobacterium sp. ESL0732,5
Streptosporangium roseum,5
Streptosporangium sp. NBC_01495,5
Sphaerisporangium sp. NBC_01403,5
Microbispora sp. NBC_01389,5
Nostoc edaphicum,6
Nostoc piscinale,6
Nostoc sphaeroides,6
Lactobacillus amylovorus,7
Lacticaseibacillus chiayiensis,7
Lactobacillus crispatus,7
Bombilactobacillus thymidiniphilus,8
Periweissella cryptocerci,8
Furfurilactobacillus rossiae,8
Oenococcus oeni,8
Trichococcus shcherbakoviae,9
Carnobacterium maltaromaticum,9
Trichococcus flocculiformis,9
Macrococcus armenti,10
Salinicoccus sp. HZC-1,10
Salinicoccus halodurans,10
Lancefieldella parvula,10
Macrococcus brunensis,10
Staphylococcus piscifermentans,10
Staphylococcus ratti,10
Mammaliicoccus sp. Dog046,10
Mammaliicoccus lentus,10
Macrococcoides bohemicum,10
Staphylococcus saccharolyticus,10
Jeotgalicoccus sp. WY2,10
Macrococcus epidermidis,10
