Threshold,NetworkType,Biome,Nodes,Edges,Number_communities,Modularity,Avg_degree,Avg_clustering_coefficient,Density
0.10,cclasso,NOPGE,3581,1344903,5,0.265937859134279,238.91186332720798,0.23099137989053997,0.20981358785271115
0.20,cclasso,NOPGE,3581,1317409,5,0.25846380711296435,236.0156631525315,0.22498328114043714,0.2055243455918028
0.45,cclasso,NOPGE,2258,79989,22,0.4911908132714995,35.812948732359956,0.4497494803222327,0.031390972206143036
0.60,cclasso,NOPGE,403,3584,25,0.5272164128392361,11.037704507299985,0.6443348909635056,0.044245274866362976
0.50,cclasso,NOPGE,1367,36016,40,0.5451326592338294,28.765762716395347,0.5477382612087444,0.03857502883809005
0.35,cclasso,NOPGE,3581,486327,5,0.5056933495737955,109.61924840585236,0.31219477538528984,0.07587016516406422
0.40,cclasso,NOPGE,3363,184969,9,0.4821841094327805,50.34860945739381,0.3524081169868991,0.03271932743260767
0.25,cclasso,NOPGE,3581,919776,5,0.40511913063918814,184.39497176981442,0.2223770449671222,0.14349101948676987
0.15,cclasso,NOPGE,3581,1344739,5,0.26574466935377417,238.89889111682513,0.23094313757664575,0.20978800278939594
0.30,cclasso,NOPGE,3581,766890,3,0.48433093080522704,162.67840763453933,0.2983103920895253,0.1196398122305963
0.55,cclasso,NOPGE,817,13522,32,0.5791865600507549,19.366651713092047,0.5994179471649753,0.040565675474596205
0.65,cclasso,NOPGE,49,169,8,0.4688018309950275,4.531614380011747,0.8239234910746801,0.14370748299319727
0.10,cclasso,PGE,3580,809766,4,0.3410285052727789,138.95083650152637,0.2553676568087286,0.12639934066036984
0.20,cclasso,PGE,3580,800286,4,0.3445167092356806,137.97031950497,0.2492315696639062,0.12491957274042717
0.45,cclasso,PGE,667,2712,23,0.6800705635694995,3.832329426124706,0.35133417648618176,0.012210111160635898
0.60,cclasso,PGE,No network available,No network available,No network available,No network available,No network available,No network available,No network available
0.50,cclasso,PGE,91,137,12,0.8052653825776691,1.5883849474945333,0.48681579966999217,0.033455433455433455
0.35,cclasso,PGE,3400,221120,6,0.552317015440867,48.893131182984106,0.3146786782814814,0.038267310454631984
0.40,cclasso,PGE,2022,32849,9,0.5949839826035798,13.695247402542286,0.3277557047606315,0.016076987868723604
0.25,cclasso,PGE,3573,584906,7,0.4120669217223553,109.87587094976904,0.21974927297026206,0.09165825939162356
0.15,cclasso,PGE,3580,809503,5,0.3449851317197609,138.93036861088197,0.2551176332141225,0.1263582880271478
0.30,cclasso,PGE,3563,466736,4,0.5375054650030117,93.30677691239521,0.3132814203818652,0.07355150406503425
0.55,cclasso,PGE,3,3,Network too small (<= 3 edges),Network too small (<= 3 edges),Network too small (<= 3 edges),Network too small (<= 3 edges),Network too small (<= 3 edges)
